Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2022/11/16,06,CA,06037,Los Angeles County,2155407,7883700,32273601,8949657,7992189,4009910,4717531,4657359,1450631,335864,103011,36021,21428,06-06037-20221116,46,11
County,2022/11/17,06,CA,06037,Los Angeles County,2331028,7708079,31390084,8708243,7715723,3910423,4705982,4443334,1387027,338912,119484,40598,20358,06-06037-20221117,46,11
County,2022/11/18,06,CA,06037,Los Angeles County,2295303,7743804,32895023,9123300,8128078,4102955,4955984,4537239,1447834,384742,148797,45265,20829,06-06037-20221118,46,11
County,2022/11/19,06,CA,06037,Los Angeles County,2349500,7689607,31485743,8588581,7849378,3978542,4686440,4180765,1483530,473932,179224,44936,20415,06-06037-20221119,46,11
County,2022/11/06,06,CA,06037,Los Angeles County,2084319,7954788,30627528,8981579,7853394,3841886,4303084,3822045,1215242,361367,166366,57412,25153,06-06037-20221106,45,11
County,2022/11/07,06,CA,06037,Los Angeles County,2320218,7718889,30561442,8729548,7435991,3697259,4512690,4297958,1335188,339478,138911,51084,23335,06-06037-20221107,45,11
County,2022/11/08,06,CA,06037,Los Angeles County,2315982,7723125,31828040,9330748,7706529,3790044,4687205,4404262,1356836,340009,140882,48284,23241,06-06037-20221108,45,11
County,2022/11/09,06,CA,06037,Los Angeles County,2283038,7756069,31825032,9037902,7649382,3843779,4733965,4553668,1412228,374588,141273,53117,25130,06-06037-20221109,45,11
County,2022/11/10,06,CA,06037,Los Angeles County,2284847,7754260,31350060,8736331,7480593,3782939,4698843,4579630,1450900,378275,159279,55357,27913,06-06037-20221110,45,11
County,2022/11/11,06,CA,06037,Los Angeles County,2254306,7784801,32532776,9013327,7893286,4003531,4935326,4607291,1421464,401127,174371,56987,26066,06-06037-20221111,45,11
County,2022/11/12,06,CA,06037,Los Angeles County,2350626,7688481,28018725,7599003,7040295,3506164,4176837,3771577,1260716,414224,174462,51072,24375,06-06037-20221112,45,11
County,2022/11/27,06,CA,06037,Los Angeles County,2362189,7676918,29198692,7741514,7212220,3718986,4321605,3882483,1416476,535746,276817,68245,24600,06-06037-20221127,48,11
County,2022/11/28,06,CA,06037,Los Angeles County,2366364,7672743,30265921,8424184,7529940,3815372,4507880,3999195,1310667,409869,192796,52110,23908,06-06037-20221128,48,11
County,2022/11/29,06,CA,06037,Los Angeles County,2320050,7719057,33092099,9488841,8119865,4102263,4984157,4505462,1369172,338172,120988,40105,23074,06-06037-20221129,48,11
County,2022/11/30,06,CA,06037,Los Angeles County,2322382,7716725,29012389,8109690,7152921,3599249,4341413,4055294,1259950,323274,105702,40664,24232,06-06037-20221130,48,11
County,2022/12/01,06,CA,06037,Los Angeles County,2094232,7944875,33034757,9225901,8144917,4184896,4991939,4562551,1404577,354398,104684,38869,22025,06-06037-20221201,48,12
County,2022/12/02,06,CA,06037,Los Angeles County,2280147,7758960,33560947,9471769,8263273,4235943,5091691,4522506,1389929,378340,141339,45543,20614,06-06037-20221202,48,12
County,2022/12/03,06,CA,06037,Los Angeles County,2315612,7723495,31763122,8361150,7793004,4070242,4888885,4403546,1524328,483639,167555,48725,22048,06-06037-20221203,48,12
County,2022/12/04,06,CA,06037,Los Angeles County,2414659,7624448,29415449,8204016,7560076,3756878,4260934,3690145,1251263,442028,168848,55222,26039,06-06037-20221204,49,12
County,2022/12/05,06,CA,06037,Los Angeles County,2345941,7693166,26314145,6756053,6631759,3334583,4050570,3781843,1260838,326068,106414,42699,23318,06-06037-20221205,49,12
County,2022/12/06,06,CA,06037,Los Angeles County,2103385,7935722,30993908,8513696,7801768,3986951,4569088,4357403,1352233,299188,66980,28829,17772,06-06037-20221206,49,12
County,2022/12/07,06,CA,06037,Los Angeles County,2335387,7703720,31051331,8757815,7658203,3905761,4629136,4209442,1367557,353354,105375,40240,24448,06-06037-20221207,49,12
County,2022/12/08,06,CA,06037,Los Angeles County,2339588,7699519,30984315,8470105,7697260,3935508,4661571,4271759,1402228,356422,119348,45225,24889,06-06037-20221208,49,12
County,2022/12/09,06,CA,06037,Los Angeles County,2359701,7679406,27617922,7436235,6999464,3548373,4103325,3713143,1259532,353498,132377,47056,24919,06-06037-20221209,49,12
County,2022/12/10,06,CA,06037,Los Angeles County,2154755,7884352,31952413,8800665,7874073,4141316,4728063,4292298,1465445,446355,137805,42983,23410,06-06037-20221210,49,12
County,2022/12/11,06,CA,06037,Los Angeles County,2360093,7679014,29819349,7975173,7463896,3844759,4425029,3928416,1403136,498405,197412,57172,25951,06-06037-20221211,50,12
County,2022/12/12,06,CA,06037,Los Angeles County,2305766,7733341,35272555,10352078,8819906,4425243,5176563,4527039,1391509,373168,134905,45691,26453,06-06037-20221212,50,12
County,2022/12/13,06,CA,06037,Los Angeles County,2322227,7716880,27698593,7208749,6686589,3518494,4277256,4132516,1359290,354974,103206,38090,19429,06-06037-20221213,50,12
County,2022/12/14,06,CA,06037,Los Angeles County,2379371,7659736,33007022,9591160,8137531,4159570,4874111,4320357,1386013,358736,111870,42150,25524,06-06037-20221214,50,12
County,2022/12/15,06,CA,06037,Los Angeles County,2339654,7699453,34362411,10092196,8395843,4295956,5050761,4516081,1429880,378355,130929,47129,25281,06-06037-20221215,50,12
County,2022/12/16,06,CA,06037,Los Angeles County,2333368,7705739,34902984,10271631,8457485,4340998,5190733,4542125,1434653,406372,175131,57894,25962,06-06037-20221216,50,12
County,2022/12/17,06,CA,06037,Los Angeles County,2355355,7683752,33717183,9538142,8092209,4224874,5019342,4474568,1552472,524819,205669,57879,27209,06-06037-20221217,50,12
County,2022/12/18,06,CA,06037,Los Angeles County,2343334,7695773,32171290,8887807,7818581,4017654,4796824,4278258,1520221,536138,233422,57799,24586,06-06037-20221218,51,12
County,2022/12/19,06,CA,06037,Los Angeles County,2306464,7732643,35088904,10190951,8550655,4401607,5221041,4603253,1482988,403147,162700,48647,23915,06-06037-20221219,51,12
County,2022/12/20,06,CA,06037,Los Angeles County,2287630,7751477,35623430,10363309,8592896,4479887,5351908,4764900,1482290,387575,133100,43984,23581,06-06037-20221220,51,12
County,2022/12/21,06,CA,06037,Los Angeles County,2296718,7742389,36679435,10728096,8853326,4622406,5551825,4804624,1507321,393938,147380,46655,23864,06-06037-20221221,51,12
County,2022/12/22,06,CA,06037,Los Angeles County,2292579,7746528,35671422,10426259,8653921,4431630,5329587,4717202,1460827,406028,169573,51513,24882,06-06037-20221222,51,12
County,2022/12/23,06,CA,06037,Los Angeles County,2300149,7738958,35845756,10660916,8701853,4382009,5261169,4600355,1477251,477747,206888,53849,23719,06-06037-20221223,51,12
County,2022/12/24,06,CA,06037,Los Angeles County,2363926,7675181,33579470,9588238,7964728,4069644,4901802,4500081,1670235,577470,227955,55663,23654,06-06037-20221224,51,12
County,2022/12/25,06,CA,06037,Los Angeles County,2374812,7664295,32088199,9034608,7724786,3935140,4719326,4180480,1521671,591827,285111,70223,25027,06-06037-20221225,52,12
County,2022/12/26,06,CA,06037,Los Angeles County,2382470,7656637,33477485,9808023,8077296,4125089,5009653,4346421,1392768,430221,201282,60761,25971,06-06037-20221226,52,12
County,2022/12/27,06,CA,06037,Los Angeles County,2390265,7648842,33859880,9911872,8231719,4157252,5047196,4459403,1417167,394417,166039,49981,24834,06-06037-20221227,52,12
County,2022/12/28,06,CA,06037,Los Angeles County,2395461,7643646,31100124,8839461,7719645,3876688,4510124,4144794,1359854,395439,166443,58589,29087,06-06037-20221228,52,12
County,2022/12/29,06,CA,06037,Los Angeles County,2422143,7616964,32718698,9599276,8039770,4046777,4769876,4242514,1333894,399402,189937,66005,31247,06-06037-20221229,52,12
County,2022/12/30,06,CA,06037,Los Angeles County,2437262,7601845,33960084,10183032,8301335,4126678,4891517,4306829,1394033,442152,213838,68188,32482,06-06037-20221230,52,12
County,2022/12/31,06,CA,06037,Los Angeles County,2516579,7522528,30574715,8649994,7434329,3763003,4463976,4030914,1408726,514676,215684,64293,29120,06-06037-20221231,52,12
County,2022/11/20,06,CA,06037,Los Angeles County,2287927,7751180,30615344,8584246,7782448,3898023,4491366,3879999,1306149,429584,181069,43095,19365,06-06037-20221120,47,11
County,2022/11/21,06,CA,06037,Los Angeles County,2237977,7801130,32560710,9078479,7967548,4095937,4913028,4518088,1443245,352156,134013,37886,20330,06-06037-20221121,47,11
County,2022/11/22,06,CA,06037,Los Angeles County,2242653,7796454,32541833,8963493,7950271,4077176,4935819,4572246,1468842,370879,141621,42700,18786,06-06037-20221122,47,11
County,2022/11/23,06,CA,06037,Los Angeles County,2235777,7803330,29657650,7963899,7332204,3792139,4422426,4152227,1374037,387615,160008,52017,21078,06-06037-20221123,47,11
County,2022/11/24,06,CA,06037,Los Angeles County,2348530,7690577,27388993,7403673,6650804,3281099,3886826,3872576,1471729,543181,206961,50825,21319,06-06037-20221124,47,11
County,2022/11/25,06,CA,06037,Los Angeles County,2313783,7725324,30529074,8187112,7585833,3974830,4610954,4031786,1379951,468640,214021,53206,22741,06-06037-20221125,47,11
County,2022/11/26,06,CA,06037,Los Angeles County,2309823,7729284,30846559,8312940,7734167,3985312,4583013,3993733,1412357,493139,245123,62555,24220,06-06037-20221126,47,11
