Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2022/02/10,06,CA,06037,Los Angeles County,2342695,7696412,28116347,7911865,6798465,3397272,4072115,4000242,1301186,384667,169651,56970,23914,06-06037-20220210,6,2
County,2022/02/11,06,CA,06037,Los Angeles County,2251878,7787229,25693724,6785227,6140190,3123054,3846232,3839753,1255551,387491,235573,58980,21673,06-06037-20220211,6,2
County,2022/02/12,06,CA,06037,Los Angeles County,2477196,7561911,24992977,6414101,5937077,3018136,3681472,3742273,1357285,483626,273496,61999,23512,06-06037-20220212,6,2
County,2022/02/13,06,CA,06037,Los Angeles County,2486359,7552748,28638744,8004805,6674108,3351393,4128640,4157845,1450755,520823,262849,63405,24121,06-06037-20220213,7,2
County,2022/02/14,06,CA,06037,Los Angeles County,2363143,7675964,33278815,9716701,7916639,4045118,4930513,4574815,1442254,392182,187820,51617,21156,06-06037-20220214,7,2
County,2022/02/15,06,CA,06037,Los Angeles County,2445003,7594104,27577094,7493789,6489547,3313265,4118218,4167335,1364050,389559,161841,55673,23817,06-06037-20220215,7,2
County,2022/02/16,06,CA,06037,Los Angeles County,2163980,7875127,34848250,10401268,8373016,4179316,4864171,4812673,1553414,416885,171142,53666,22699,06-06037-20220216,7,2
County,2022/02/17,06,CA,06037,Los Angeles County,2288012,7751095,35084707,10485189,8484701,4272776,5049119,4636842,1467479,420548,185706,58026,24321,06-06037-20220217,7,2
County,2022/02/18,06,CA,06037,Los Angeles County,2206037,7833070,30750278,8485125,7058812,3816450,4677992,4505078,1454588,448148,216677,64711,22697,06-06037-20220218,7,2
County,2022/02/19,06,CA,06037,Los Angeles County,2585291,7453816,28347030,7043068,6461402,3582052,4520985,4380036,1507185,528727,240261,61976,21338,06-06037-20220219,7,2
County,2022/02/20,06,CA,06037,Los Angeles County,2443424,7595683,32440163,8257955,7217491,4063172,5142662,5048575,1726516,610697,282109,68895,22091,06-06037-20220220,8,2
County,2022/02/21,06,CA,06037,Los Angeles County,2386847,7652260,34403152,9739629,8035992,4174145,5171825,4926820,1562868,476697,228401,63291,23484,06-06037-20220221,8,2
County,2022/02/22,06,CA,06037,Los Angeles County,2288629,7750478,35782893,9899190,8253561,4460666,5572055,5279275,1614115,433563,191483,56949,22036,06-06037-20220222,8,2
County,2022/02/23,06,CA,06037,Los Angeles County,2369957,7669150,30329961,8125749,6894695,3669550,4689071,4687375,1517254,447183,215407,61023,22654,06-06037-20220223,8,2
County,2022/02/24,06,CA,06037,Los Angeles County,2311374,7727733,31895068,8771954,7400354,3886449,4757852,4804914,1523458,443989,216873,63315,25910,06-06037-20220224,8,2
County,2022/02/25,06,CA,06037,Los Angeles County,2421505,7617602,29729833,7951709,6945175,3606286,4509988,4477960,1448580,472789,222176,69251,25919,06-06037-20220225,8,2
County,2022/02/26,06,CA,06037,Los Angeles County,2615652,7423455,27299867,7011364,6268862,3276382,4210372,4297900,1441307,491354,202483,73099,26744,06-06037-20220226,8,2
County,2022/02/27,06,CA,06037,Los Angeles County,2468483,7570624,23936148,5657133,5355112,2976970,4033709,3893593,1316968,446043,172676,60691,23253,06-06037-20220227,9,2
County,2022/02/28,06,CA,06037,Los Angeles County,2319450,7719657,30342961,8120055,6866778,3700046,4829523,4670218,1488817,429494,156990,57272,23768,06-06037-20220228,9,2
County,2022/03/01,06,CA,06037,Los Angeles County,2279401,7759706,30654356,8008749,6890961,3808858,4950136,4746234,1515860,475447,171216,62176,24719,06-06037-20220301,9,3
County,2022/03/02,06,CA,06037,Los Angeles County,2376651,7662456,28960237,7341990,6413201,3585353,4739755,4647217,1514897,462465,164592,65738,25029,06-06037-20220302,9,3
County,2022/03/03,06,CA,06037,Los Angeles County,2383587,7655520,26909196,6411141,5934633,3399388,4586631,4467413,1454060,429388,146008,58650,21884,06-06037-20220303,9,3
County,2022/03/04,06,CA,06037,Los Angeles County,1934663,8104444,30341298,9173378,7447199,3591442,4307291,4007509,1270449,335970,133726,53608,20726,06-06037-20220304,9,3
County,2022/03/05,06,CA,06037,Los Angeles County,2350932,7688175,31246228,8183949,7028246,3797993,5006997,4816103,1595470,519121,199493,73119,25737,06-06037-20220305,9,3
County,2022/03/06,06,CA,06037,Los Angeles County,2476126,7562981,27271803,6506156,5917297,3391775,4582205,4530212,1529126,520016,199192,71554,24270,06-06037-20220306,10,3
County,2022/03/07,06,CA,06037,Los Angeles County,2365981,7673126,27942849,7244205,6365380,3381355,4483169,4392658,1438820,410071,142034,61090,24067,06-06037-20220307,10,3
County,2022/03/08,06,CA,06037,Los Angeles County,2140914,7898193,31059120,8070636,6864876,3766943,5099925,5001899,1582886,439772,147721,59756,24706,06-06037-20220308,10,3
County,2022/03/09,06,CA,06037,Los Angeles County,2302347,7736760,30501165,8091664,6945368,3712275,4850408,4669058,1505466,463099,172756,65934,25137,06-06037-20220309,10,3
County,2022/03/10,06,CA,06037,Los Angeles County,2318868,7720239,31239551,8112891,6930657,3772204,5045064,5025410,1605055,478839,172045,70075,27311,06-06037-20220310,10,3
County,2022/03/11,06,CA,06037,Los Angeles County,2369033,7670074,27331474,6645493,6031198,3370785,4584967,4548628,1452628,443110,165713,64636,24316,06-06037-20220311,10,3
County,2022/03/12,06,CA,06037,Los Angeles County,2410311,7628796,27753312,6981768,6240318,3361383,4486835,4443790,1478032,485837,182995,66520,25834,06-06037-20220312,10,3
County,2022/03/13,06,CA,06037,Los Angeles County,2470197,7568910,29095856,7122889,6385547,3636044,4863969,4702752,1548669,536204,204579,70764,24439,06-06037-20220313,11,3
County,2022/03/14,06,CA,06037,Los Angeles County,2273815,7765292,31690758,8468075,7111335,3876186,5014703,4929591,1559999,463825,172886,68149,26009,06-06037-20220314,11,3
County,2022/03/15,06,CA,06037,Los Angeles County,2344322,7694785,28527561,7056779,6348080,3562460,4780481,4658360,1469944,424298,146677,57190,23292,06-06037-20220315,11,3
County,2022/03/16,06,CA,06037,Los Angeles County,2215119,7823988,29331703,7502953,6579571,3660520,4815659,4660561,1460158,420630,154339,54529,22783,06-06037-20220316,11,3
County,2022/03/17,06,CA,06037,Los Angeles County,2231564,7807543,32829365,8859729,7549508,3992304,5168837,4968253,1567708,462390,172713,63531,24392,06-06037-20220317,11,3
County,2022/03/18,06,CA,06037,Los Angeles County,2342208,7696899,30456771,7741802,6821784,3778776,4987689,4861659,1529168,462729,179911,68260,24993,06-06037-20220318,11,3
County,2022/03/19,06,CA,06037,Los Angeles County,2278823,7760284,28902563,7305240,6442255,3541890,4704769,4605336,1507884,498614,201204,70949,24422,06-06037-20220319,11,3
County,2022/03/20,06,CA,06037,Los Angeles County,2415844,7623263,26387347,6282171,5851706,3378589,4438241,4285133,1400558,468706,196505,65122,20616,06-06037-20220320,12,3
County,2022/03/21,06,CA,06037,Los Angeles County,2231506,7807601,29949189,7790100,6883866,3683840,4733297,4655470,1474796,461523,176272,65558,24467,06-06037-20220321,12,3
County,2022/03/22,06,CA,06037,Los Angeles County,2145742,7893365,29356525,7284961,6675526,3729619,4873500,4705357,1452474,410854,146687,55244,22303,06-06037-20220322,12,3
